model_name,interaction_tone,sum,count,prop,ci_low,ci_high
gemma2:9b,abusive,35,40,0.875,0.739,0.945
gemma2:9b,friendly,0,40,0.0,0.0,0.088
gemma2:9b,unclear,0,40,0.0,0.0,0.088
gemma3:12b,abusive,36,40,0.9,0.769,0.96
gemma3:12b,friendly,0,40,0.0,0.0,0.088
gemma3:12b,unclear,0,40,0.0,0.0,0.088
llama3.1:8b,abusive,40,40,1.0,0.912,1.0
llama3.1:8b,friendly,0,39,0.0,0.0,0.09
llama3.1:8b,unclear,0,25,0.0,0.0,0.133
mistral:7b,abusive,24,36,0.667,0.503,0.798
mistral:7b,friendly,0,40,0.0,0.0,0.088
mistral:7b,unclear,1,31,0.032,0.006,0.162
