model_name,interaction_tone,sum,count,prop,ci_low,ci_high
gemma2:9b,abusive,0,40,0.0,0.0,0.088
gemma2:9b,friendly,40,40,1.0,0.912,1.0
gemma2:9b,unclear,24,40,0.6,0.446,0.737
gemma3:12b,abusive,5,36,0.139,0.061,0.287
gemma3:12b,friendly,38,40,0.95,0.835,0.986
gemma3:12b,unclear,19,40,0.475,0.329,0.625
llama3.1:8b,abusive,17,40,0.425,0.285,0.578
llama3.1:8b,friendly,39,40,0.975,0.871,0.996
llama3.1:8b,unclear,27,36,0.75,0.589,0.862
mistral:7b,abusive,6,40,0.15,0.071,0.291
mistral:7b,friendly,39,40,0.975,0.871,0.996
mistral:7b,unclear,23,38,0.605,0.447,0.744
