interaction_tone,exp_condition,k_yes,n,post_mean,ci_low,ci_high
abusive,1a_prompt_with_context,0,40,0.024,0.001,0.086
abusive,1b_prompt_without_context,9,40,0.238,0.124,0.376
abusive,2a_interaction_with_context,8,37,0.231,0.115,0.374
abusive,2b_interaction_without_context,11,39,0.293,0.166,0.439
friendly,1a_prompt_with_context,40,40,0.976,0.914,0.999
friendly,1b_prompt_without_context,39,40,0.952,0.872,0.994
friendly,2a_interaction_with_context,39,40,0.952,0.872,0.994
friendly,2b_interaction_without_context,38,40,0.929,0.835,0.985
unclear,1a_prompt_with_context,10,36,0.289,0.159,0.44
unclear,1b_prompt_without_context,35,40,0.857,0.739,0.944
unclear,2a_interaction_with_context,23,39,0.585,0.434,0.73
unclear,2b_interaction_without_context,25,39,0.634,0.483,0.773
