run_version|run_dir|timestamp_iso|row_id|model_name|exp_condition|condition_order_index|interaction_tone|interaction_id|assistant_was_correct|format|study_context|transcript_chars|raw_preference|parsed_preference|compliant_preference|latency_ms_preference|log_path_preference|raw_is_abusive|parsed_is_abusive|compliant_is_abusive|latency_ms_is_abusive|log_path_is_abusive|raw_is_adequate|parsed_is_adequate|compliant_is_adequate|latency_ms_is_adequate|log_path_is_adequate|temperature|top_p|top_k|seed
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:48:50.849721|row_46d254b536_706e55ab|gemma2:9b|2a_interaction_with_context|0|abusive|abusive:0|1|interaction|1|294|NO|NO|1|5858|runs_replication/run_20250920_104842/logs/trial_3b10fd1f55_bb38fcf5.json|YES|YES|1|447|runs_replication/run_20250920_104842/logs/trial_236c3fe3b8_b7e04c0e.json|NO|NO|1|446|runs_replication/run_20250920_104842/logs/trial_614bde9e52_31e009a3.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:48:52.698331|row_2d77af3834_34f49a46|gemma2:9b|1b_prompt_without_context|1|abusive|abusive:0|1|prompt|0|294|NO|NO|1|943|runs_replication/run_20250920_104842/logs/trial_2a8177c433_ecf370a1.json|YES|YES|1|449|runs_replication/run_20250920_104842/logs/trial_8d1c19a7af_9cba09b5.json|NO|NO|1|449|runs_replication/run_20250920_104842/logs/trial_81806c8971_29adbea9.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:48:54.543147|row_f957192a98_3b9cfb4b|gemma2:9b|2b_interaction_without_context|2|abusive|abusive:0|1|interaction|0|294|NO|NO|1|933|runs_replication/run_20250920_104842/logs/trial_ede64287d6_0522bc22.json|YES|YES|1|452|runs_replication/run_20250920_104842/logs/trial_7a05531ade_e46535c2.json|NO|NO|1|452|runs_replication/run_20250920_104842/logs/trial_f3490a700f_e20231d2.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:48:56.736688|row_8d4b9bf9be_81f0201f|gemma2:9b|1a_prompt_with_context|3|abusive|abusive:0|1|prompt|1|294|NO|NO|1|1269|runs_replication/run_20250920_104842/logs/trial_b8606af397_f9ed857e.json|YES|YES|1|463|runs_replication/run_20250920_104842/logs/trial_8c2b8cf23b_6941a2a0.json|NO|NO|1|455|runs_replication/run_20250920_104842/logs/trial_ff2d999710_9a55f6e5.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:48:58.414642|row_0f8bcc03e3_eb88ca3d|gemma2:9b|2b_interaction_without_context|0|abusive|abusive:1|0|interaction|0|220|NO|NO|1|774|runs_replication/run_20250920_104842/logs/trial_e792324be0_d4dc8f75.json|YES|YES|1|447|runs_replication/run_20250920_104842/logs/trial_c379b2ba93_4749d952.json|NO|NO|1|448|runs_replication/run_20250920_104842/logs/trial_de674f9640_802169a1.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:49:00.423190|row_21b74d4357_249e165e|gemma2:9b|2a_interaction_with_context|1|abusive|abusive:1|0|interaction|1|220|NO|NO|1|1084|runs_replication/run_20250920_104842/logs/trial_a94dd7dd7f_d880a9a9.json|YES|YES|1|453|runs_replication/run_20250920_104842/logs/trial_6750a0df8c_f2271063.json|NO|NO|1|461|runs_replication/run_20250920_104842/logs/trial_4d18dbb99f_adb27c86.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:49:02.423526|row_c0130ed266_90228c2f|gemma2:9b|1a_prompt_with_context|2|abusive|abusive:1|0|prompt|1|220|NO|NO|1|1100|runs_replication/run_20250920_104842/logs/trial_4130aef542_ca7dcc18.json|YES|YES|1|446|runs_replication/run_20250920_104842/logs/trial_4b3cc0da12_ef7acfba.json|NO|NO|1|448|runs_replication/run_20250920_104842/logs/trial_f55694ae18_1a896820.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:49:04.112522|row_31dc3e512c_ae10ea4b|gemma2:9b|1b_prompt_without_context|3|abusive|abusive:1|0|prompt|0|220|NO|NO|1|775|runs_replication/run_20250920_104842/logs/trial_03e529b24e_a3873251.json|YES|YES|1|455|runs_replication/run_20250920_104842/logs/trial_8385aa50c6_9e74aca8.json|NO|NO|1|451|runs_replication/run_20250920_104842/logs/trial_9f697dc749_03c3dc8a.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:49:05.959610|row_73b481a7bf_fd7aa3ba|gemma2:9b|1b_prompt_without_context|0|abusive|abusive:2|1|prompt|0|345|NO|NO|1|939|runs_replication/run_20250920_104842/logs/trial_9c95595d55_156136eb.json|YES|YES|1|448|runs_replication/run_20250920_104842/logs/trial_7c28e1dd4e_3d5f6429.json|NO|NO|1|452|runs_replication/run_20250920_104842/logs/trial_82e06a5d8c_2f990863.json|0|1|1|42
v4.0.0|runs_replication/run_20250920_104842|2025-09-20T10:49:07.956508|row_b001a46bf5_a91e441d|gemma2:9b|2b_interaction_without_context|1|abusive|abusive:2|1|interaction|0|345|NO|NO|1|1091|runs_replication/run_20250920_104842/logs/trial_baf0f2dadb_6250320c.json|NO|NO|1|449|runs_replication/run_20250920_104842/logs/trial_ce2bae764f_6eab4094.json|NO|NO|1|448|runs_replication/run_20250920_104842/logs/trial_73bb54b3d0_d245af23.json|0|1|1|42
